PID,AGE_BUILT,sale_price,AGE_SALE,DISTANCE,AV_BLDG_LOG,LAND_SF_LOG,LIVING_AREA_LOG,AGE_REMODEL,R_TOTAL_RMS,edu_Pct_Age_25_plus_bachelors_plus,target
1000019000,122,9,31,2.991085458,13.18758916,7.272398393,7.608870629,122,8,74.6,0
1000024000,122,817500,6,2.977913102,13.39467797,7.272398393,7.613818685,6,6,74.6,1
1000027000,147,815000,15,2.970016561,13.66457138,7.272398393,7.856164641,22,8,74.6,1
1000029000,122,0,35,2.964755048,13.26629055,7.272398393,7.608870629,122,8,74.6,0
1000093000,122,0,35,3.001563235,13.5406789,7.377758908,7.688913337,122,8,74.6,0
1000094000,122,612500,17,3.000449645,13.11513733,7.197435354,7.533158807,60,10,74.6,1
1000095000,122,9,5,2.999336166,13.48213353,7.192934221,7.560080465,37,5,74.6,1
1000096000,122,9,18,2.9982228,13.26021044,7.195937226,7.533158807,19,7,74.6,0
1000099000,126,765400,8,2.994883338,13.5324843,7.195937226,7.730482305,22,7,74.6,1
1000111000,122,9,9,2.977647925,13.41383825,7.365180126,7.832014181,122,7,74.6,1
1000118000,122,817000,12,2.986481379,13.6443663,7.272398393,7.885385671,18,7,74.6,1
1000119000,122,80000,29,2.987743774,13.18702689,7.377758908,7.721348613,9,7,74.6,0
1000120000,122,677000,13,2.989006338,13.3355374,7.377758908,7.672292456,9,9,74.6,1
1000121000,122,154000,27,2.990269075,13.20006489,7.377758908,7.672292456,10,6,74.6,0
1000122000,122,0,35,2.991531898,13.13587173,7.377758908,7.929918395,122,7,74.6,0
1000527000,132,10000,17,2.941381716,12.90545038,7.051855623,7.495541944,132,6,74.6,1
1000540000,122,9,13,2.982176707,12.93988181,7.280008253,7.801104864,122,9,74.6,1
1000544000,147,0,35,2.986258146,13.06240104,7.309212366,7.798769228,147,8,74.6,0
1000546000,147,9,30,2.988320767,12.54646576,7.263329617,7.787942036,147,8,74.6,0
1000702000,117,9,11,3.091510475,12.98791728,8.883501584,8.098642844,117,10,74.6,1
1000723001,142,9,7,3.02434461,12.67231923,7.96241568,7.799753318,142,10,74.6,1
1000756000,122,0,35,3.085827586,13.13744901,7.890582535,7.656620948,16,10,74.6,0
1000782000,137,9,28,3.186501815,12.89921983,8.339023006,7.538282098,137,8,74.6,0
1000414000,122,9,22,3.157951355,13.08466151,8.318742253,7.890919304,122,14,52.1,0
1100036000,172,9,29,2.894571351,12.61552977,7.504942068,7.680637428,42,12,52.1,0
1100052000,152,89500,13,2.922478102,11.75587164,7.062191632,7.878534196,152,10,52.1,1
1100064000,172,121500,23,2.949931998,13.02187984,8.993675787,7.323170718,22,5,52.1,0
1100065000,21,165000,20,2.961158634,12.57723267,8.892061626,7.250635512,21,5,52.1,0
1100079000,127,0,35,2.970702435,12.76483092,8.347590407,7.889084407,127,13,52.1,0
1100082000,142,9,11,2.965219133,12.28257062,8.180320875,7.731930722,47,8,52.1,0
1100141010,13,9,9,2.998889074,12.97455918,8.407824654,7.307872781,13,7,52.1,0
1100144000,142,9,29,2.986968723,13.02055211,9.532423871,8.382060517,17,13,52.1,0
1100148000,24,8000,24,2.947355065,13.2265432,9.165238398,7.809541325,9,8,52.1,0
1100151000,162,820000,6,2.93514091,13.40483188,8.174702882,7.901451398,11,10,52.1,1
1100155010,13,353044,13,2.933167443,12.94275813,8.397959103,7.318539549,13,7,52.1,0
1100157010,52,160000,17,2.932386687,12.3999851,8.622813673,7.53689713,18,7,52.1,0
1100157020,52,160000,17,2.931998205,12.3999851,8.690978417,7.53689713,18,7,52.1,0
1100500010,24,280000,22,3.129951409,13.24280953,7.700295203,7.415776975,24,6,52.1,0
1100520000,101,1,3,3.18935474,13.20209835,8.553332238,7.813753221,6,10,52.1,0
1100523000,172,1,3,3.188703067,12.67794952,8.410275909,7.731930722,42,9,52.1,1
1100530000,23,239000,22,3.188638169,13.18721435,8.710619528,7.377758908,23,7,52.1,0
1100534000,147,440000,9,3.221695134,13.24263221,7.78113851,7.564238475,147,7,52.1,1
1100538000,122,0,35,3.213675463,12.34191387,8.051978079,7.804251384,122,10,52.1,0
1100541000,117,10,23,3.216456333,12.94012182,8.303504799,8.060855753,117,10,52.1,0
1100542000,117,1,3,3.217391345,12.77053382,8.298290634,7.584773078,18,9,52.1,0
1100547000,112,84500,27,3.222258284,12.72991321,7.809541325,7.522724678,112,10,52.1,0
1100549000,122,0,35,3.22420862,12.64303642,8.03915739,7.532195262,122,9,52.1,0
1100593000,142,0,35,6.45,13.15753745,8.848509301,8.382975849,142,10,52.1,0
1100612010,51,160000,17,3.187603588,12.3999851,9.08000387,7.53689713,19,7,52.1,0
1100612020,51,280000,7,3.187811833,12.4716203,9.165133779,7.53689713,19,7,52.1,0
1100613000,112,0,35,3.188243966,13.82268476,9.923584254,8.419933112,6,12,52.1,0
1100646000,132,215000,14,3.081932848,12.57521949,7.241366283,7.372746366,132,5,52.1,1
1100660010,57,160000,17,3.080662923,12.3999851,8.459775921,7.53689713,18,7,52.1,0
