PID_22,YR_REMODEL_22,RES_FLOOR_22,GROSS_AREA_22,LIVING_AREA_22,BED_RMS_22,FULL_BTH_22,HLF_BTH_22,KITCHEN_22,TT_RMS_22,INT_COND_RANK_22,EXT_COND_RANK_22,OVERALL_COND_RANK_22,BTHRM_STYLE1_RANK_22,BTHRM_STYLE2_RANK_22,KITCHEN_STYLE1_RANK_22,KITCHEN_TYPE_RANK_22,YR_REMODEL_17,RES_FLOOR_17,GROSS_AREA_17,LIVING_AREA_17,BED_RMS_17,FULL_BTH_17,HLF_BTH_17,KITCHEN_17,TT_RMS_17,INT_COND_RANK_17,EXT_COND_RANK_17,OVERALL_COND_RANK_17,BTHRM_STYLE1_RANK_17,BTHRM_STYLE2_RANK_17,KITCHEN_STYLE1_RANK_17,RES_FLOOR_CHG_IND,RES_FLOOR_CHG,GROSS_AREA_CHG_IND,GROSS_AREA_CHG,LIVING_AREA_CHG_IND,LIVING_AREA_CHG,BED_RMS_CHG_IND,BED_RMS_CHG,TT_RMS_CHG_IND,TT_RMS_CHG,FULL_BTH_CHG_IND,FULL_BTH_CHG,HLF_BTH_CHG_IND,HLF_BTH_CHG,KITCHEN_CHG_IND,KITCHEN_CHG,INT_COND_RANK_CHG_IND,INT_COND_RANK_CHG,EXT_COND_RANK_CHG_IND,EXT_COND_RANK_CHG,OVERALL_COND_RANK_CHG_IND,OVERALL_COND_RANK_CHG,BTHRM_STYLE1_RANK_CHG_IND,BTHRM_STYLE1_RANK_CHG,BTHRM_STYLE2_RANK_CHG_IND,BTHRM_STYLE2_RANK_CHG,KITCHEN_STYLE1_RANK_CHG_IND,KITCHEN_STYLE1_RANK_CHG,REMODEL_EVER_FLAG,REMODEL_LAST_5YR
100021000,1965,2,1836,1122,3,1,0,1,5,3,3,3,2,,2,1,1965,2,1836,1122,3,1,0,1,5,3,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100027000,1980,2,3076,1968,4,1,1,1,8,3,3,3,2,2,2,1,1980,2,3076,1968,4,1,1,1,8,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100033000,,1.5,1920.6,1110.6,4,1,1,1,9,3,3,3,3,3,3,1,0,1.5,2079,1111,4,1,1,1,9,3,3,3,3,3,3,0,0,0,-158.4,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100052000,2017,2,2476,1648,3,1,1,1,5,4,4,4,3,3,3,1,0,2,2478,1658,5,1,1,1,8,2,3,2,1,1,1,0,0,0,-2,0,-10,0,-2,0,-3,0,0,0,0,0,0,1,2,1,1,1,2,1,2,1,2,1,2,1,0
100118000,1996,2,2781,1798,4,2,1,2,8,3,4,3,2,2,2,1,1996,2,2781,1798,4,2,1,2,8,3,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100172000,,2,1914.4,1190.4,4,1,0,1,6,3,3,3,2,,2,1,0,2,2212,1190,4,1,0,1,6,3,3,3,2,,2,0,0,0,-297.6,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100187000,,2,2012,1356,3,1,1,1,6,4,3,4,3,3,3,1,0,2,2237,1356,3,1,1,1,6,4,3,4,3,3,3,0,0,0,-225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100188000,,2,2120,1530,3,2,0,1,6,3,3,3,2,2,2,1,,2,2345,1530,3,2,0,1,6,3,3,3,2,2,2,0,0,0,-225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100195020,2014,1.5,1084.9,670,2,1,0,1,6,4,4,4,3,,3,1,2014,1.5,1233,670,2,1,0,1,6,4,4,4,3,,3,0,0,0,-148.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0
100221000,2018,2,2308,1572,4,2,0,1,6,3,3,3,2,2,3,1,0,2,2308,1572,3,2,0,1,6,3,3,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1
100222000,1986,2,1863,1242,2,2,0,2,6,3,3,3,2,2,2,1,1986,2,1863,1242,2,2,0,2,6,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100224000,,2,1768,992,1,1,0,1,5,3,3,3,2,,3,1,0,2,1768,992,1,1,0,1,5,3,3,3,2,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
100228000,,2,1863,1242,2,1,0,1,6,3,3,3,2,,2,1,0,2,1863,1242,2,1,0,1,6,3,3,3,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
